Country,Total Cases,Deaths,Continent
Zimbabwe,6559,203,Africa
Malawi,5576,175,Africa
Djibouti,5387,60,Africa
Equatorial Guinea,4965,83,Africa
Montenegro,4917,102,Europe
Hong Kong,4831,92,Asia
Central African Republic,4711,62,Africa
Nicaragua,4668,141,North America
Eswatini,4618,94,Africa
Rwanda,4142,16,Africa
Suriname,4089,72,South America
Cuba,4065,95,North America
Slovakia,4042,33,Europe
Mozambique,4039,23,Africa
Congo,3979,78,Africa
Cabo Verde,3970,40,Africa
Tunisia,3963,80,Africa
Thailand,3425,58,Asia
Somalia,3310,98,Africa
Mayotte,3301,40,Africa
Uganda,3112,32,Africa
Sri Lanka,3092,12,Asia
Gambia,3029,96,Africa
Slovenia,2979,134,Europe
Lithuania,2958,86,Europe
Syria,2830,116,Asia
Mali,2777,126,Africa
Angola,2729,109,Africa
Jamaica,2683,24,North America
South Sudan,2527,47,Africa
Estonia,2415,64,Europe
Bahamas,2276,50,North America
Guinea-Bissau,2205,34,Africa
Benin,2145,40,Africa
Iceland,2121,10,Europe
Aruba,2104,10,North America
Jordan,2097,15,Asia
Sierra Leone,2028,71,Africa
Yemen,1962,570,Asia
Malta,1931,13,Europe
Trinidad and Tobago,1797,27,North America
New Zealand,1757,22,Australia/Oceania
Botswana,1724,6,Africa
Réunion,1714,10,Africa
Uruguay,1611,44,South America
Georgia,1548,19,Asia
Cyprus,1490,21,Asia
Togo,1416,28,Africa
Latvia,1406,34,Europe
Guyana,1373,41,South America
Burkina Faso,1370,55,Africa
Liberia,1305,82,Africa
Guadeloupe,1269,16,North America
Andorra,1184,53,Europe
Niger,1176,69,Africa
Lesotho,1085,31,Africa
Belize,1050,13,North America
Vietnam,1046,34,Asia
Chad,1017,77,Africa
Myanmar,938,6,Asia
Sao Tome & Principe,896,15,Africa
Martinique,747,18,North America
San Marino,715,42,Europe
Channel Islands,630,48,Europe
French Polynesia,573,0,Australia/Oceania
Turks and Caicos,538,4,North America
Tanzania,509,21,Africa
Taiwan,489,7,Asia
Sint Maarten,482,19,North America
Papua New Guinea,460,5,Australia/Oceania
Burundi,445,1,Africa
Comoros,427,7,Africa
Faeroe Islands,411,0,Europe
Mauritius,356,10,Africa
Isle of Man,336,24,Europe
Eritrea,319,0,Africa
Mongolia,306,0,Asia
Gibraltar,295,0,Europe
Cambodia,274,0,Asia
Bhutan,227,0,Asia
Saint Martin,213,5,North America
Cayman Islands,205,1,North America
Barbados,176,7,North America
Bermuda,172,9,North America
Brunei ,144,3,Asia
Monaco,140,1,Europe
Seychelles,136,0,Africa
Liechtenstein,107,1,Europe
Antigua and Barbuda,94,3,North America
Curaçao,71,1,North America
St. Vincent & Grenadines,61,0,North America
British Virgin Islands,47,1,North America
Macao,46,0,Asia
Fiji,29,2,Australia/Oceania
Timor-Leste,27,0,Asia
Saint Lucia,26,0,North America
Grenada,24,0,North America
New Caledonia,23,0,Australia/Oceania
Laos,22,0,Asia
Dominica,20,0,North America
Saint Barthelemy,18,0,North America
Saint Kitts & Nevis,17,0,North America
Caribbean Netherlands,16,0,North America
Greenland,14,0,North America
Montserrat,13,1,North America
Falkland Islands,13,0,South America
Holy See,12,0,Europe
Western Sahara,10,1,Africa
MS Zaandam,9,2,
Saint Pierre & Miquelon,5,0,North America
Anguilla,3,0,North America
